,ion/atom,min,1st quartile,median,3rd quartile,max,mean,std,fails
0,"('LI', 'O')",0.00493461853833208,0.009904786067985269,0.011270893480947319,0.012359393698617119,0.015698976899744893,0.011141901024465606,0.0023547125523339,0
1,"('LI', 'N')",0.003922483567114724,0.005549295848048306,0.0065403364299156256,0.007031166093691629,0.011438760590081979,0.006535330126070019,0.0013247713914007963,0
2,"('LI', 'S')",3.0111219002899152e-05,0.00015663318742604,0.00021986492925075776,0.0002881411719032436,0.0015398331563571893,0.00028224941982041583,0.00026592584117552965,1
3,"('LI', 'C')",0.015026387797790667,0.021621876013173325,0.025258727871644647,0.027155152851782563,0.03805587657854197,0.02505588336674174,0.00440555363076366,1
4,"('NA', 'O')",0.0017188966237252849,0.0077214104580118886,0.009723191572087564,0.011736096419291946,0.06666243809694843,0.009714729196948563,0.0028087450558190396,1
5,"('NA', 'N')",0.001456076824534998,0.0051056925941241876,0.005988649226777871,0.006957801412521235,0.04444162539796561,0.006098701675200581,0.0015919681048261825,1
6,"('NA', 'S')",0.0,0.0001096165295947735,0.00016716733817146844,0.0002320803977500884,0.014479612789586977,0.00019592752466367718,0.0002233348434488833,0
7,"('NA', 'C')",0.0055780286051924505,0.01977318832437434,0.02328524723856979,0.02702431440153063,0.1164252043011892,0.023429298249539342,0.005294135220677379,0
8,"('K', 'O')",0.002437469164600955,0.006816629161787129,0.008769712859816467,0.01089309171874404,0.016905524923809735,0.008838039738573356,0.0027820779602024484,0
9,"('K', 'N')",0.0020886239537927856,0.004807235759291666,0.005744926305237597,0.0065264147823697995,0.010009055308938928,0.005683955657609319,0.0012860179766709327,0
10,"('K', 'S')",0.0,0.00011642544567199493,0.00016946590778951851,0.00022919949973588123,0.0011544747526036634,0.0001779317145782611,8.833139765759798e-05,0
11,"('K', 'C')",0.007758329447128626,0.018657317311480966,0.022097792294980427,0.02517385000172241,0.04142664642834923,0.021929762475371616,0.004811533804880994,0
12,"('CU1', 'O')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
13,"('CU1', 'N')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
14,"('CU1', 'S')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
15,"('CU1', 'C')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
16,"('RB', 'O')",0.002979614748096434,0.005582219431273082,0.006755438294451924,0.009947337056688224,0.014273834688348629,0.007956889262153889,0.0032460527460642786,0
17,"('RB', 'N')",0.0025694340165403015,0.004238259014449468,0.005287343210966417,0.006789226386316425,0.009427885303936174,0.0055776010469726425,0.0017562505032461405,0
18,"('RB', 'S')",0.0,9.875265370566533e-05,0.00012980073878045672,0.00020676346984602512,0.0006432177727052412,0.00016919108469380992,0.00013695257691587914,0
19,"('RB', 'C')",0.01021582199347349,0.018058497062417876,0.020331301528077224,0.02702175304088649,0.04180701189887943,0.021827849352871215,0.00637219957977201,0
20,"('RH', 'O')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
21,"('RH', 'N')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
22,"('RH', 'S')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
23,"('RH', 'C')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
24,"('AG', 'O')",0.003301898843695546,0.005245305628877054,0.007427869776162437,0.011111562200130114,0.013996775609665108,0.008007279372786922,0.003132922304140658,0
25,"('AG', 'N')",0.0028891614882336028,0.004448637951798556,0.0053351731065342705,0.00834109890160422,0.010160655778768684,0.006200046085915306,0.0021165952483754094,0
26,"('AG', 'S')",3.8573584622611516e-05,0.00012167756252587649,0.0001685691844231006,0.0003939205207321092,0.0017837771288819132,0.00038894710371188435,0.0004750127550130988,0
27,"('AG', 'C')",0.01115548067285925,0.016777264327658227,0.020316933994819954,0.029621888753588704,0.03655357871630197,0.02242770157868169,0.00707603604271409,0
28,"('CS', 'O')",0.002413236237342998,0.005786917651308267,0.008043770385928486,0.011887765488441738,0.01663043667163926,0.008921847622273455,0.003540917754762684,0
29,"('CS', 'N')",0.002107461132375845,0.004526150937903656,0.0059038298870330635,0.006789262969306131,0.010176165220066358,0.005820759631403641,0.0016065779175195736,0
30,"('CS', 'S')",0.0,8.97787563606869e-05,0.00013917883086199718,0.00024687005009928377,0.0006620656299936925,0.00017380952205764682,0.0001355933801272164,2
31,"('CS', 'C')",0.00865946003583559,0.0178138499222052,0.0220843847057501,0.025679497309289347,0.04709738005697379,0.022346112430810555,0.005905000374727848,2
32,"('AU', 'O')",0.003324333190648502,0.006584617433629821,0.009055652652952936,0.01190944542080241,0.014589426672709307,0.009124113586960707,0.0032027958754538505,2
33,"('AU', 'N')",0.0026911268686202155,0.005166465176078637,0.006168481000439185,0.007681249456352255,0.010006699815547353,0.006509268518773355,0.0019766746657741852,2
34,"('AU', 'S')",0.0,0.00011870218067366554,0.00018455754880192975,0.00031692899368148373,0.0005711041457143216,0.00024033574953186485,0.00016156650240789437,0
35,"('AU', 'C')",0.010408328918339952,0.01958176085686616,0.02378161555104738,0.02925702570708392,0.035999712751054506,0.024124261411240827,0.006223435470106048,0
36,"('TL', 'O')",0.0036647795302338997,0.0044571995870112706,0.0056577916381380395,0.008448818358917668,0.010924828502472473,0.00644333893022627,0.0023026874316423233,0
37,"('TL', 'N')",0.0028030795105785313,0.0038237957652598005,0.004992463355315441,0.005708755412662924,0.007135645390237361,0.0047862383010508205,0.0010893339703140928,0
38,"('TL', 'S')",7.003455608658935e-05,0.0001277206572515221,0.00013557009033438413,0.00021354446680784002,0.0002369484855121823,0.00015424656182629046,4.945685703803595e-05,0
39,"('TL', 'C')",0.011254892153957176,0.015245904608620145,0.01914229434990118,0.022290998708703012,0.026689679166799412,0.018836686763969292,0.0041314546229886855,0
40,"('MG', 'O')",0.0,0.00640399479029311,0.008369053425090534,0.01059572730796796,0.02211255231012526,0.008544640539302407,0.002766071299300603,0
41,"('MG', 'N')",0.0,0.004706387875974763,0.005661763353334738,0.006498235094600853,0.01602867548405905,0.005595258957323014,0.001251634846479115,0
42,"('MG', 'S')",0.0,0.00010480249124151413,0.00015141648646568883,0.0002068212993895585,0.000865101902679688,0.00016179689467739022,7.936699590056255e-05,0
43,"('MG', 'C')",0.0018768214279419923,0.018320987237906358,0.021816289869561637,0.025052680262076243,0.05639285827238294,0.02161954310180775,0.004710785105087417,0
44,"('CA', 'O')",0.0,0.007136348560780719,0.008769600572423646,0.01107354342854864,0.03359056205689654,0.00909210667841422,0.0027868201915650682,0
45,"('CA', 'N')",0.0,0.005156068003211335,0.0061027649493465026,0.007021390060215752,0.01642205256114942,0.0060662940191538485,0.0013816238571013994,0
46,"('CA', 'S')",0.0,0.0001090614876066805,0.00017815830054437637,0.0002697816317741978,0.0015270868471645054,0.00021968006300998163,0.00017521898874178594,0
47,"('CA', 'C')",0.0017702730276478037,0.020101873288166587,0.023652775138735697,0.027068138963244462,0.05075907155264366,0.023353318823810983,0.005036167453397286,0
48,"('MN', 'O')",0.0004071940466398157,0.0075356776665058845,0.009362100798517691,0.011187205754857536,0.016310222670614105,0.009317932209262622,0.00246856377299084,0
49,"('MN', 'N')",0.00020359702331990785,0.005271883792753748,0.006065149009834525,0.006943559380774132,0.009339367236361798,0.006004532492802297,0.001144525802411353,0
50,"('MN', 'S')",0.0,0.00010232855033126609,0.00016680803277534004,0.00023329887371265382,0.0009423885447679342,0.00017074472121947476,9.288463793258337e-05,0
51,"('MN', 'C')",0.0050086248272555095,0.020178361332193636,0.023548984456758994,0.026789564905210166,0.03577903736356363,0.023220036220788103,0.00439396170739832,0
52,"('FE2', 'O')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
53,"('FE2', 'N')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
54,"('FE2', 'S')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
55,"('FE2', 'C')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
56,"('CO', 'O')",0.003275750376127942,0.007528118059012958,0.009886485571192594,0.011609108403306794,0.017262096282327964,0.009679788662508963,0.002707168464614993,0
57,"('CO', 'N')",0.002615744511565351,0.005418617570461216,0.006419918241142016,0.007203719939994089,0.009938882406377969,0.006255745192895974,0.0012532647018882966,0
58,"('CO', 'S')",0.0,9.929880812987733e-05,0.00016072106262775949,0.00023821581714487657,0.0011359395719107632,0.00018298667008519664,0.00011248271956764189,0
59,"('CO', 'C')",0.010131036010993187,0.020890825556883152,0.024508220204407814,0.02761549245079813,0.037070315545487974,0.023939695796260298,0.004671987828903794,0
60,"('NI', 'O')",0.00012037969523484999,0.007795436023323733,0.010355939629722588,0.011574535106915886,0.01606692215622898,0.009714840403244334,0.002417988759354392,0
61,"('NI', 'N')",8.694089100294722e-05,0.005553188919376271,0.006286888925747171,0.006607439133473806,0.009949236217442403,0.006148262538910787,0.00100817037934809,0
62,"('NI', 'S')",0.0,0.00013758558486322485,0.00022172392866048817,0.0002722575581067039,0.0010758034019619895,0.0002119467440322689,0.00010763185901649773,2
63,"('NI', 'C')",0.00613936445697735,0.021503818945044592,0.025062526529834497,0.025798594073454143,0.03845944080006831,0.02384452361020129,0.003860879997697303,2
64,"('CU', 'O')",0.00014297305978859106,0.007559420139555975,0.009504491690809108,0.011817195156665182,0.028959225579173953,0.009692479237828072,0.0027760324654387096,2
65,"('CU', 'N')",0.000303817752050756,0.005625274484822078,0.006409913498754096,0.007277336848165717,0.028959225579173953,0.006394242543612891,0.0014372502279006586,2
66,"('CU', 'S')",0.0,0.00011265894173442413,0.00016135484159173646,0.00022097176864737877,0.014479612789586977,0.00020366767830221747,0.00041306460449629003,0
67,"('CU', 'C')",0.00631126608143413,0.02166043011761986,0.02448363726765064,0.02784126063512653,0.09170421433405085,0.02453278594608672,0.00523579300377288,0
68,"('ZN', 'O')",0.0,0.0057293190490716435,0.007139942106447771,0.009154522361398548,0.11327659548134526,0.007605210189100879,0.002791624925798518,0
69,"('ZN', 'N')",0.0,0.004971635277037081,0.0058938370377062885,0.006886200531737263,0.07551773032089684,0.005973030595254931,0.0016990032144055972,0
70,"('ZN', 'S')",0.0,0.0001592618257351645,0.00024940309708040056,0.00041229203150279736,0.00213748926513744,0.0003156542526725392,0.00023733991863592147,0
71,"('ZN', 'C')",0.0023578178663662803,0.01781981849171826,0.021632771439362427,0.025477924765868992,0.15103546064179368,0.021654518347839956,0.005803102710701014,0
72,"('SR', 'O')",0.003238209997319154,0.0053846956081856434,0.007240900567462207,0.009755673984971961,0.015242676523055089,0.0076752970219675235,0.0029037255578457316,0
73,"('SR', 'N')",0.0025927832701226395,0.004164254884468534,0.00556257104897832,0.0062101236443109185,0.008735522649634318,0.005214833185608819,0.001443627543513936,0
74,"('SR', 'S')",0.0,0.00011382671087932663,0.00014556231819232585,0.00020196060076283745,0.0007233085862285273,0.00018392401725928186,0.00012376135816167806,0
75,"('SR', 'C')",0.009683330629833746,0.016465082217597606,0.021078509682224834,0.025481014384791785,0.03247480557535811,0.02053000801132617,0.005629587664492643,0
76,"('Y1', 'O')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
77,"('Y1', 'N')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
78,"('Y1', 'S')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
79,"('Y1', 'C')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
80,"('PD', 'O')",0.007204176286042953,0.009420391459336932,0.011191236032579422,0.01222288196970891,0.013300100353569605,0.010834304014659955,0.00186906273943545,0
81,"('PD', 'N')",0.004147259218894102,0.0066085459068547115,0.0074881576836390625,0.007600704113129267,0.009605867006519919,0.007112012688008236,0.0014059705519917408,0
82,"('PD', 'S')",5.055562305995054e-05,0.00013019851805735753,0.00016136985649391127,0.0001976681035030529,0.0005742637884332561,0.000208084990733451,0.00015490740843381417,0
83,"('PD', 'C')",0.01658124859535313,0.024564586501647088,0.028445646732733972,0.028781951494832144,0.0324720069459532,0.02649590804141029,0.004550832039168099,0
84,"('CD', 'O')",0.0004071940466398157,0.00729261255654805,0.009325801474895876,0.011123151195944841,0.02368306843537884,0.009235033116978071,0.0026337066289355638,0
85,"('CD', 'N')",0.00020359702331990785,0.005596891886490883,0.006770729027838802,0.00773739829605678,0.020039519445320557,0.006688185113741498,0.0016236065091025746,0
86,"('CD', 'S')",0.0,0.00012613006285190837,0.0002209996265466796,0.0009409452232649971,0.0032515172067222086,0.0005790489114071833,0.0007222093227499352,0
87,"('CD', 'C')",0.00539450907174355,0.020691941859049896,0.025151780095294278,0.02848557480480993,0.05647500934590338,0.024494932558161632,0.005378942214820901,0
88,"('BA', 'O')",0.0029553008902265332,0.004869357722976934,0.006117782055092473,0.008652391151740187,0.014141124067679388,0.006892215626329945,0.0025607457994347056,0
89,"('BA', 'N')",0.0024800332032017987,0.004032252438134809,0.004968465783003683,0.005585313466363111,0.007876894395675646,0.0049208619733628394,0.001189924266834039,0
90,"('BA', 'S')",0.0,7.852508316860796e-05,0.00012127919594507889,0.000160928126833755,0.0005396945822034243,0.0001290942863728203,9.025422355475267e-05,0
91,"('BA', 'C')",0.009317947050270172,0.01625341828482625,0.019311187476095275,0.021812047676010686,0.03392553832217575,0.01965551456454047,0.004827047787150221,0
92,"('EU', 'O')",0.005563258187209044,0.0087001547095249,0.011454776740800272,0.013000658893398492,0.013941216990466606,0.010532013104279864,0.0030532804163049933,0
93,"('EU', 'N')",0.0041206996944716376,0.004591385993632332,0.006335689422811915,0.009396278118116688,0.009416115083284505,0.006772033662463416,0.002273896122686378,0
94,"('EU', 'S')",9.407990170026569e-05,0.0001639780712011547,0.0002246034655058877,0.0005106672890280808,0.0005350065388229832,0.00030566705325167436,0.0001822294662807664,0
95,"('EU', 'C')",0.016877934365027665,0.017499068939205043,0.026082077431871208,0.032018839022060666,0.03263539886820198,0.025022663725273314,0.006796523484813208,0
96,"('YB2', 'O')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
97,"('YB2', 'N')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
98,"('YB2', 'S')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
99,"('YB2', 'C')",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
100,"('PT', 'O')",0.003421222034742247,0.007608924376687943,0.01011093376685269,0.012237755092134074,0.01572670496167242,0.009673527134761519,0.0029025988856723407,0
101,"('PT', 'N')",0.002157574248108847,0.005489692975444635,0.006476968045142672,0.008613162634804113,0.009713995977151252,0.006852976644299194,0.0019004417312063703,0
102,"('PT', 'S')",1.9502080002602386e-05,0.0001225673651326327,0.00019573191376379706,0.0005175343752249796,0.0008334876576672731,0.00028762053658916886,0.00021148942712436938,0
103,"('PT', 'C')",0.008586709633887735,0.021717973726921882,0.025925400088519086,0.03072529905170864,0.037315960156129806,0.025292281768651323,0.006081348427443477,0
104,"('HG', 'O')",0.002746081047403897,0.007184181412490212,0.009461048744214448,0.010622844526871048,0.015886058522125483,0.008982006466851175,0.002469225112367508,0
105,"('HG', 'N')",0.002419214677323492,0.005384095920501602,0.006459303227700204,0.007497808402312436,0.009755503725189777,0.006364239023868829,0.0014549937430800668,0
106,"('HG', 'S')",0.0,8.160969961961193e-05,0.00014985693595166925,0.0001926389707646805,0.001331427338441282,0.00018034171807126747,0.00018433084769856823,0
107,"('HG', 'C')",0.009006984419993383,0.021206566862855606,0.025543439960696197,0.028647140849340176,0.03717360366861788,0.02475197079812958,0.005411880920421166,0
108,"('PB', 'O')",0.0031408801904103294,0.007482739126827953,0.008890123486601745,0.011113477808019181,0.015588758496365342,0.00900261734834999,0.00279526194915617,0
109,"('PB', 'N')",0.002103738314901607,0.005206753087477441,0.0057302303455438255,0.006365834939847874,0.00807781122084386,0.0056715723855343654,0.0012215304127012638,0
110,"('PB', 'S')",0.0,8.180326945674041e-05,0.00014588786192201183,0.0001892393838679895,0.0003020464597209577,0.0001388238794513136,7.520294254552656e-05,0
111,"('PB', 'C')",0.007948602705411024,0.019918988918083583,0.022382244088134724,0.025113985126584318,0.03139009097222657,0.021967278745468985,0.00471694848152779,0
