,,Unnamed: 0,ion,num_structures,num_ions,num_EC1,num_EC2,num_EC3,num_EC4,num_EC5,num_EC6,num_EC7,num_ions EC1,num_ions EC2,num_ions EC3,num_ions EC4,num_ions EC5,num_ions EC6,num_ions EC7
LI,0,0,LI,79,131,13,9,16,4,1,2,0,20,14,36,5,1,2,0
NA,0,0,,7695,18487,896,799,1971,367,197,83,1,2439,1863,5003,734,435,231,1
K,0,0,K,2278,7300,345,368,474,182,46,36,1,961,1286,1448,397,120,319,1
CU1,0,0,CU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,0,0,RB,42,217,1,2,15,0,0,0,0,16,26,60,0,0,0,0
RH,0,0,RH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,0,0,AG,89,248,18,2,3,0,0,0,0,25,9,7,0,0,0,0
CS,0,0,CS,113,595,16,8,14,10,3,4,0,74,76,59,37,12,6,0
AU,0,0,AU,81,554,11,6,19,0,2,1,0,26,17,38,0,3,13,0
TL,0,0,TL,37,247,0,1,23,0,0,1,0,0,6,69,0,0,24,0
MG,0,0,MG,13174,40159,1134,2496,2570,689,370,434,1,2965,8823,8231,2283,1270,1343,3
CA,0,0,CA,15154,46161,1024,809,3947,287,196,58,0,3280,2245,9921,1094,803,202,0
MN,0,0,MN,3327,10597,817,506,630,200,165,81,0,1803,1167,2596,670,718,806,0
FE2,0,0,FE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,0,0,CO,758,2186,86,68,306,58,30,4,0,243,165,884,120,78,10,0
NI,0,0,NI,1934,3703,537,89,574,46,34,12,0,901,184,994,104,72,23,0
CU,0,0,CU,1846,6044,955,12,110,11,2,1,0,4198,23,166,20,10,1,0
ZN,0,0,ZN,30485,68460,1900,1977,4974,1117,135,1237,1,4749,4674,12751,2069,436,3400,6
SR,0,0,SR,66,412,7,5,11,1,0,0,0,40,18,56,2,0,0,0
Y1,0,0,Y1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD,0,0,PD,18,70,0,0,3,0,0,0,0,0,0,6,0,0,0,0
CD,0,0,CD,1403,6855,61,63,173,24,9,9,0,353,313,1247,62,57,85,0
BA,0,0,BA,72,415,2,8,11,3,2,1,0,8,32,110,11,2,1,0
EU,0,0,EU,5,22,1,0,2,0,0,0,0,9,0,7,0,0,0,0
YB2,0,0,YB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,0,0,PT,117,436,3,11,42,0,0,2,0,28,29,137,0,0,7,0
HG,0,0,HG,528,1908,62,76,64,118,1,5,0,359,296,276,163,11,27,0
PB,0,0,PB,46,159,2,6,7,2,1,0,0,2,16,27,6,2,0,0
AL,0,0,AL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V,0,0,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,0,0,CR,38,45,0,0,1,0,0,0,0,0,0,3,0,0,0,0
MN3,0,0,MN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FE,0,0,FE,1682,5203,694,38,220,55,7,0,0,2275,103,545,143,20,0,0
3CO,0,0,3CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3NI,0,0,3NI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU3,0,0,CU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YT3,0,0,YT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU,0,0,RU,33,73,0,0,22,1,0,0,0,0,0,51,1,0,0,0
RH3,0,0,RH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SB,0,0,SB,1,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0
LA,0,0,LA,105,163,1,0,1,0,0,0,0,1,0,1,0,0,0,0
CE,0,0,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,0,0,PR,10,31,0,2,1,0,0,0,0,0,9,1,0,0,0,0
SM,0,0,SM,19,98,2,0,6,0,0,0,0,12,0,13,0,0,0,0
EU3,0,0,EU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GD3,0,0,GD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TB,0,0,TB,28,146,4,1,5,0,0,0,0,48,2,6,0,0,0,0
DY,0,0,DY,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HO3,0,0,HO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER3,0,0,ER3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YB,0,0,YB,76,177,3,0,49,3,0,0,0,4,0,98,9,0,0,0
LU,0,0,LU,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OS,0,0,OS,2,6,0,0,1,0,0,0,0,0,0,4,0,0,0,0
IR3,0,0,IR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU3,0,0,AU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS3,0,0,BS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,0,0,AM,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCM,0,0,ZCM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF,0,0,CF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,0,0,IR,10,36,1,0,2,0,0,0,0,1,0,12,0,0,0,0
F,0,0,F,67,165,12,1,21,3,4,0,0,32,3,51,9,4,0,0
CL,0,0,CL,12796,39016,1360,1718,3449,502,248,232,0,4482,5034,10584,1765,880,801,0
BR,0,0,BR,454,3099,38,52,97,25,4,5,0,315,239,747,110,9,7,0
IOD,0,0,IOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
